user_id,tweet_id,tweet_text,class,tweet_text_clean
user0021,a8cb02cd180b,Tiempo para una receta deliciosa!! Quien está listo para mirar el bocadillo saludable que vamos a preparar??? #vidasaludable  #cocina,control,tiempo receta deliciós listo mirar bocadillo saludable ir preparar
user0022,c8d7fb50f38d,"Más #pegatinasrealfooder 
La idea es motivar a niños ( y a los no tan niños) a comer mejor. Más  y menos ultraprocesados. Un punto = una pegatina por cada día que comas sano. ¿Conseguiremos cambiarlo un poquito? Sería genial aplicarlo en distintos centros.
@Fruitube",control,idea motivar niño tanto niño comer mejor menos ultraprocesado punto pegatinar cada día coma sano conseguirer cambiar él poquito genial aplicar él distinto centro fruitube
user0023,163238e7fd2a,El día que pese 45 kilos seré feliz,anorexia,día pese kilo feliz
user0024,ebb7399ccc84,Meta del día más que cumplida  #noteat,anorexia,meta día cumplido
user0025,902edae2d259,¿Aún no tienes cena? Te traemos una receta sencilla y riquísima: Patata fundente de torta #cañarejal con pechuga a las finas hierbas  #foodie  #recetas,control,aún cena traar receta sencillo riquísimo patato fundente torto pechuga fina hierbas
user0026,434cdbfccbbe,#MePongoDeBuenasCuando veo que sigo baje y baje de peso,anorexia,ver sigo baje baje peso
user0027,cd0f0a4a9c28,"""Alegría al adelgazar y frustración al engordar"" #testimonios2016 #anorexia  http://www.setcabarcelona.com/testimonio-paciente-de-anorexia-como-empieza-todo/ …",anorexia,alegría adelgazar frustración engordar
user0028,b3a231c48237,"Me to others: everybody should love their body and accept it in the way they are, all body types are beauty. 
Me to me:
 #anorexia #anorexic #ana #mia #skinny",anorexia,to other everybody should love their body and accept it in the way they are all body typ are beauty to
user0029,790304dc259a,"#Tip 
Esta lista es un resumen de la #verduras  y #legumbres que tienen pocas #calorias   #vegetarian",anorexia,listo resumir poco
user0030,dd5dfd3a9b88,Mañana empiezo otra vez!,anorexia,mañana empiezo vez
user0031,2910abc4f79a,12 hs sin comer #anoreccia  #bulymia #amarme,anorexia,hs comer
user0032,164d6705e9ba,"Cuando la gente me pregunta, puedo tomar Coca-Cola light? Aquí tenéis la respuesta. Insisto siempre en que desde que existen los alimentos “light” la obesidad en el mundo no ha hecho más que crecer.  only",control,gente preguntar poder tomar cocacola light aquí respuesta insisto siempre existir alimento light obesidad mundo hecho crecer only
user0033,60cfd8ee8884,que le pasa a tu cuerpo cuando no tomas agua |  Carla Diaz TV https://youtu.be/6ROyt9VH4Oo  #agua #tea #té #adelgazar #bebidas  #metabolismo #deshidratacion #hidratacion,control,pasar cuerpo tomar agua car él diaz tv
user0034,3de6bc2832e4,"Un revuelto y un pedazo de tomate aliñado.  Si esque para cuidarse solo hay que quererlo.

#Sevillahoy #Andalucíahoy #MuévetePorSevilla #salud #saludable  #nutriciondeportiva #nutricion",control,revuelto pedazo tomatar aliñado si esque cuidar él solo querer él
user0035,05b0fc75186a,"Tonifica tu cuerpo sin tener que ir al #gimnasio con la metodología #SistemaFitness y tus #BandasDeResistencia 

https://www.youtube.com/watch?v=hWGzeSkk5FU …

 #ejercicioencasa #Wod #workouts",control,tonifico cuerpo tener ir metodología
user0036,e844a586bb9e,!! le llenan de porqueria la cabeza a las chicas .. que es eso de ser Princesas??? diosss mio TERMINENLA,control,llenar porqueria cabeza chica ser princesa diosss  mio terminenla
user0037,7cf97a25791a,"Tienes todo para cambiar... que esperas? 

No te rinda la perfeccion no es dificil de alcanzar",anorexia,cambiar espera rendir perfeccion dificil alcanzar
user0038,11f3e8e99de9,"Vamos!!!!!!! Mi querido @AlbertoGuzmanU1 va genial!!!!! Y lo llega genial, que orgullosa de ti!!!!!!eres un crack, no tires la toalla y para adelante. 5 kilos!!! Yuju!!!!! Este finde va a caer torrija doble por carnavales  @QMContando  #operacionguzman",control,ir querer albertoguzmanu ir genial llegar genial orgulloso tier crack tir toalla adelante kilo yuju finde ir caer torrija doble carnaval qmcontar
user0039,d804cdcbd426,Se vuelve automático el contar las calorías.,anorexia,volver automático contar caloría
user0040,f0029cb232b4,"Hoy #domingo os esperamos desde las 10:00 de la mañana para empezar el día con un buen desayuno.

También podéis reservar mesa para comer o cenar y disfrutar de nuestra carta o del menú fin de semana.
 980 56 99 34

#FelizDomingo #RestauranteAlabros #Zamora  #Yum",control,hoy esperar mañana empezar día buen desayuno poder reservar mesa comer cenar disfrutar carta menú fin semana
user0041,6fc679ff6da6,"A todas aquellas personas que ya están de vacaciones, ¿por qué no se animan a hacer está mousse de cacao y avellanas? 

Sirve tanto para desayunos, almuerzos y meriendas y, además de estar deliciosa, es saludable.

Receta completa: https://www.instagram.com/p/BlpwsTjHHA3/?taken-by=inutralia …",control,todo aquel persona vacación animar hacer mousse cacao avellanas servir desayuno almuerzo merienda además deliciós saludable receta completo
user0042,44b2ffdbb950,"Yuhuu! A acabo el día y he conseguido comer apenas mas de 200 calorías! :D mañana a tope también.
  estarán orgullosas de mi en 2015",anorexia,yuhuu acabar día conseguir comer apenas mas caloría d mañana tope orgulloso
user0043,01f9b26b4c3b,"Pronto tendrás la app donde puedes encontrar y disfrutar de excelentes gimnasios en  la  ciudad que te encuentres  para que sigas entrenando. 
.
.
#wearesportigo #Gym #Entrenamiento #GymVip #Deporte #Gimnasios  #Motivacion #Disciplina",control,pronto app poder encontrar disfrutar excelente gimnasio ciudad encuentr siga entrenar
user0044,2dc5935fbd58,"Es placentero ver estas fotos, pero me resultaría más placer ser la de la foto. #Optimismo",anorexia,placentero ver foto resultar placer ser foto
user0045,2b50628fc9ed,A&M las necesito mas que nunca #gorda #asquerosa  #PrincesasA&M,anorexia,am necesitar mas nunca m
user0046,d731eba38f6a,Carlos Ríos estará muy orgulloso de @juliaot2018.,control,carlos ríos orgulloso juliaot
user0047,90d86231ed6a,"El desayuno de mis compañeros ayer en Xàbia! #vivesaludable #pesas #cuidatusalud  #soysaludable #fácil #saludyvida

#mujeresvalientes #mujeres #mujeremprendedora… https://www.instagram.com/p/BvaKkt4AR8P/?utm_source=ig_twitter_share&igshid=wsvxbjs5osil …",control,desayuno compañero ayer xàbio
user0048,d7c1a67d15ff,10 kilos 8 Dias?  #Ayuda,anorexia,kilo dia
user0049,602a968fadba,Ya me gustó andar presumiendo brazo  no ese brazo! Mi brazo  bueno también el otro  #Instagram #gymtime #gymlife  #food,control,gustar andar presumir brazo brazo brazo bueno
user0050,4dcbc1d686fe,"6) Se ha hablado de comer limpio, TCA, bio, eco, superalimentos, precio... pero solo te quedas con .
Tú atribuyes TODO esto a tu labor en #Realfooding 
Es más, yo en el vídeo destaco la labor pedagógica y la coincidencia en 90% de los casos. No sé a qué viene tu molestia",control,hablado comer limpio tca bio eco superalimento precio solo queda atribuy labor vídeo destaco labor pedagógico coincidencio caso saber venir molestio
user0051,9a0cd99d6b8c,NO SABER SI COMER Y HACER CARDIO O NO COMER Y SEGUIR ECHADA. #HMMMM #PIENSAQUEPIENSA #PENSATIVA   HASHTAG SOY UNA VAGA DE VERGA,anorexia,saber si comer hacer cardio comer seguir echado hashtag vago vergo
user0052,164592dc77bc,Hoy es el día internacional del café. Y desde DOCE Confituras queremos felicitar a tod@s l@s cafeter@s #diainternacionaldelcafe  #saludable #seamosdetallistas http://bit.ly/2y6KmKc,control,hoy día internacional café doce confitura querer felicitar tods ls cafeter
user0053,87987a4ecfdc,"Y ahora también quiero vomitar....

 #skinny #problems #sadgirl",anorexia,ahora querer vomitar
user0054,5a590076bdf2,"Comida post entreno. Porque la belleza a la hora de comer , también importa  
.
.
.
#posttraining  #elrincondeunachiari #food #comidadeverdad  ing #instafood… https://www.instagram.com/p/BoKK7emBa9m/?utm_source=ig_twitter_share&igshid=847uwxa45rtb …",control,comida post entreno belleza hora comer importar ing
user0055,783dc9416f5c,Solo deseo sentirme aceptada y hermosa  #quieroserdelgada https://tmblr.co/Z21oWe2JMjxvm,anorexia,solo desear sentir yo aceptado hermoso
user0056,6da8210c9293,"Hay que vomitar maximo antes de una hora despues de cada comida, si pasa la hora aunque vomites te engordas  #anatips",anorexia,vomitar maximo hora despues cada comida si pasar hora aunque vomit engorda
user0057,75833e125b7a,“To’ el mundo es loco hasta que tiene a otro de frente” #mentepositivavalex2 #fit  addict model #gym #gymboy #gymfit #bodyfitness #bodybuilding #mensphysique #mensphysiquepic #mens #diet,control,to mundo loco frente addict model
user0058,b40095d29b17,Me pregunto qué pasaría con mis amigos  ? Ojalá nos reuniríamos como antes extraño tener un peso aceptable por la sociedad !!,anorexia,pregunto pasar amigo ojalá reunir extraño tener peso aceptable sociedad
user0059,b555b513d670,"No me avergüenza lo que hago, avergonzada deberías estar vos por cargar tanta grasa y creerte hermosa!  #meta #perfección #princesa",anorexia,avergüenza hacer avergonzado debería vo cargar tanto grasa creerte hermoso
user0060,864ff8bf7760,"Quise investigar un poco sobre el tema y descubrí que así llaman a la anorexia y bulimia.
Hoy por curiosidad me he metido en instagram con el hashtag  y esto es lo que me he encontrado",anorexia,querer investigar tema descubrí así llamar anorexia bulimio hoy curiosidad metido instagram hashtag encontrado
user0061,ca2c28c29dfa,Felicidad es que la ropa comience a quedarte grande.  #Perfección,anorexia,felicidad ropa comience quedarte grande
user0062,e2bc434b941d,"¡Gracias por todo tu valioso amor!

¡ Feliz día del padre!  .                        #bodytonik #velezmalaga #diadelpadre #2019 #axarquia #fit  en Bodytonik FIT https://www.instagram.com/p/BvLoi_qATFx/?utm_source=ig_twitter_share&igshid=ssvuqbe98up2 …",control,gracia valioso amor feliz día padre bodytonik fit
user0063,9973700e70fa,El papel de estraza contiene fibra y te puede ayudar a disminuir el apetito al igual que hielo. #consejo,anorexia,papel estrazar contener fibra poder ayudar disminuir apetito igual hielo
user0064,22f5afa49e28,"De los 3 kilos que me propuse bajar para semana santa, ya solo me faltan 7.
#NeverBackDown #Crosspig",control,kilo proponer bajar semana santa solo faltar
user0065,32d9d8c4a273,"Quiero estar así.
Y no parare hasta lograrlo.
#thinspo  #delgada",anorexia,querer así parare lograr él
user0066,54d286962cb7,Que delicia es esto   #SomosInmunes https://www.instagram.com/p/BiZl-Vuh8GK/?utm_source=twitter …,control,delicia
user0067,c3f031c07368,Sólo quiero ser perfecta,anorexia,sólo querer ser perfecto
user0068,88e09cf36566,"Peso actual: 66.7 
Estatura: 1.73
Peso meta: 48.0
 
#RexyBill",anorexia,peso actual estatura peso meta
user0069,da2f3f2dbef1,Haciendo lo q mas me destruye...,anorexia,hacer q mas destruir
user0070,457fbde1da8f,Querían verse como las chicas de los anuncios y perdieron el control... testimonios #anorexia #bulimia  http://ow.ly/AYTtg,anorexia,querer ver él chica anuncio perder control testimonio
user0071,c804d52427a8,Necesito vomitar todo lo que me comi :(,anorexia,necesitar vomitar comi
user0072,56af843bb2e2,"Buen inicio de semana! Por aquí un lunes #veggie 

#nutrición #comelimpio #comidasaludable   #heatlhyfood #healthy #perdergrasa https://www.instagram.com/p/Bpzc-SYBHcV/?utm_source=ig_twitter_share&igshid=1q60pz3sfg19d …",control,buen inicio semana aquí lunes
user0073,b782a27876b9,"Guisado de sepia y gambas, como dicen mis hijos ""la vez que mejor"".
#masendocrino #sepia #comidacasera #comidasana #dietamediterranea #aove #aceitedeoliva #cooking  #cocinaespañola #spainfood #cooking #hungry #topfood #foodporn #foodlove #instafood  +recetas en e…",control,guisado sepia gambas decir hijo vez mejor receta
user0074,a9ab63d07363,"#tucontratimismo equipo RedKham listo para competir el día de mañana.
Los esperamos en el Tec de Monterrey campus Morelia para que disfruten este gran evento. 
#crossfit  #gym #desarrollo #fit #cuerpo #motivación #entrenamiento #fitfam #fitfam #g… https://ift.tt/2UNDYBV",control,equipo redkham listo competir día mañana esperar tec monterrey campus morelia disfrutir gran evento
user0075,7a982277fa63,"Momentos de felicidad

 Tostada con aguacate chafado y salmón ahumado

#desayuno #aguacate #salmon #saludable  #vidasana #viernes",control,momento felicidad tostado aguacatar chafado salmón ahumado
user0076,59744af8ba0a,"¿Alguien os ha dicho que no aceptamos pulpo como animal de compañía? ¡Porque mentiría!

#gredos #spain #food #foodie #instafood #vacaciones #autumn #otoño #holidays #disfrutando #foodlover #mountain #naturaleza #nature #octopus #aventura #vacances  #lunchtime",control,alguien dicho aceptar pulpo animal compañía mentir
user0077,ce0bdb33600e,"Yo digo que ""QUIERO bajar de peso pero no PUEDO"", cuando en realidad es al revés, NO QUIERO BAJAR DE PESO, sino que deseo bajar de peso, si en verdad quisiera, lo haría #ana #mia  #anorexia #bulimia #proana #promia #ed",anorexia,decir querer bajar peso poder realidad revés querer bajar peso sino desear bajar peso si verdad querer hacer
user0078,23d7ff218f4a,"Si quieres hacerlo, muévete. Te apoyo, estoy contigo. #proana  #anorexia #anorektisk es tu cuerpo. Nadie puede decirte qué hacer.",anorexia,si quier hacer él muévete apoyo contigo cuerpo nadie poder decirte hacer
user0079,7644a6f2659c,A retomar el buen camino.  #anorexia #bulimia #ortorexia #PRINCESS #rexybill #perfection #thinspo #perfectbody #fat #gordadescarada #ugly #feas,anorexia,retomar buen camino
user0080,2892c5b65c68,"ostras un día más sin comer pollitos, y vivito y coleando estoy, y por cierto, ellos también. última ración de las berenjenas rellenas de ragout de soja, canónigos y rúcula, zanahorias y restos de apio que circulaban por casa
#menjarsaludable  #veggie",control,ostra día comer pollito vivito colear cierto último ración berenjena relleno ragout sojo canónigo rúcular zanahoria resto apio circular casa
user0081,c8a1f709a092,que ser una gorda asquerosa que nadie va a querer o una princesa flaca #thinspo #proana #thinspiration  #thin,anorexia,ser gordo asqueroso nadie ir querer princesa flaco
user0082,d20c5972444c,En boca cerrada no entran kilos,anorexia,boca cerrada entrar kilo
user0083,e6a7b2991081,Quien lo llamo  o un estilo d vida fueron los haters/wannas?Esto es un infierno q quisiera arrancarlo d mi,anorexia,llamar estilo d vida haterswannasesto infierno q querer arrancar él d
user0084,ac5e194bff0a,"Siempre que me duele el estómago recuerdo la frases de carta de Ana: quejarse del dolor es como quejarse de mi amistad.
#RexyBill",anorexia,siempre doler estómago recordar frase carta ana quejar él dolor quejar él amistad
user0085,5ed02ddc7c50,"Acabo de volver de la psicóloga y mí mamá me quería comprar un helado, y no sabía cómo decirle que no quiero comer más, así que se lo acepte, y me quiero matar #ana #mia #anorexia #bulimia  #proana #promia #ed #tca",anorexia,acabar volver psicóloga mamá querer comprar helado saber cómo decir él querer comer así aceptar querer matar
user0086,a25009c7112a,Las buenas princesas vomitamos después de comer.,anorexia,buena princesa vomitamos después comer
user0087,a089aafa7a84,"Tomo agua y tomo agua, pero no me lleno... Casi 2lts voy y tengo hambre #ana #mia  #anorexia #proana #promia",anorexia,tomo agua tomo agua lleno casi lts ir hambre
user0088,a5852acecd28,secretos : no quieres tener pareja xq sientes q nunca vas a ser lo suficientemente bonita para q alguien te quiera de verdad,anorexia,secreto quier tener pareja xq sient q nunca va ser suficientemente bonito q alguien querer verdad
user0089,ec457687706a,"Las nueces destacan por la gran cantidad de nutrientes y beneficios que tienen para nuestra salud y hoy lo explicamos todo detalladamente 
 #nutricion ing #FelizMiércoles #nueces #healthy #frutossecos  #saludable",control,nuez destacar gran cantidad nutrient beneficio salud hoy explicar detalladamente ing
user0090,c0abfc272b77,La única manera de que se me noten los huesos... Es que me hagas una radiografía #ana #mia  #anorexia #proana #promia,anorexia,único manera notar hueso haga radiografiar
user0091,2e71881f391a,"Somos lo que comemos!!! O eso dicen, pues ea, yo quiero mi culito como el melocotón, la misma forma!!   #tienemejorpintadeloqueesta #estaacidocomolamadrequelopario #perotengounhambrequedacalambre",control,comer decir pues ear querer culito melocotón mismo forma
user0092,fcb1ff9a6c7f,"#Retodelapluma  
Princesas a ver si se animan",anorexia,princesa ver si animan
user0093,a2281c8c3655,"Ayer conseguí lo impensable.
Hace 2 años comencé la aventura de comer sano, pero no lo q dicen nutricionistas, sino q #Lowcarb. 
Sola en esto, cometí errores, pero gracias al apoyo del #LowCarbChile llegué a mi talla 40.
No es magia!! Es  y con exámenes perfectos!",control,ayer conseguí impensable hacer año comencé aventura comer sano q decir nutricionista sino q solo cometí error gracias apoyo llegué talla magia examen perfecto
user0094,0fd3790298e6,"Vale madres, compraron carnitas. Voy a vomitar #princesa",anorexia,valer madre comprar carnita ir vomitar
user0095,05379e5a4e98,El tamaño de mi frío no se compara con el tamaño de mis piernas #thinspo  #thinspiration,anorexia,tamaño frío compara tamaño pierna
user0096,6aa3c2de2c4b,Estereotipos de belleza a través del tiempo http://wp.me/p46CQO-qZ  #trastornosalimenticios #anorexia #bulimia,control,estereotipo belleza través tiempo
user0097,487c75cef2b0,ana y  mia   nuestras  mejores   amiga,anorexia,án mia mejor amiga
user0098,901a4260c0d0,"las dietas son una bobada!!

https://youtu.be/-u32H6Vb0co",control,dieta bobado
user0099,6b8344b86934,"Nunca llames a una chica gorda porque ella puede intentar cambiar
Vomitando dejando de comer ,hacer ejercicios compulsivo ,laxantes",anorexia,nunca llames chico gordo poder intentar cambiar vomitar dejar comer hacer ejercicio compulsivo laxant
user0100,fc3905248ead,desayune dos donas y tengo altas ganas de vomitar bueno creo que no me queda otra opcion que mandarme los dedos,anorexia,desayunar dos dona alto gana vomitar bueno creer quedar opcion mandarme dedo
user0101,be4196623198,"Mi vida va a depender de ayunar y vomitar todo lo que tenga por obligación tenga que comer.

#analimia
#miaforever",anorexia,vida ir depender ayunar vomitar obligación comer
user0102,75072bb97267,"Oigan, tengo hambre ¿Algún tip para la ansiedad y el hambre?  Tips #YisusAutsilio #TuitSerio #PreguntaSeria",control,oír hambre alguno tip ansiedad hambrir tip
user0103,0217e2942a66,"Que mejor para un martes de #Entroido que un buen cocido
.
Y además de que nos han invitado, nos han dado un par de tuppers que nos van a solucionar un par de cenas de la semana
.
.
.
.
.
.
#entroido #cocido   #dietetian  #nutricionista  er #foodporn",control,mejor martes buen cocido además invitado dado par tuppers ir solucionar par cenos semana er
user0104,b1838a5022c2,"""No sabéis lo que daría por poder mirarme al espejo y no sentir asco,por no sentirme culpable cada vez que como"" #Anorexia #Bulimia",anorexia,sabéis dar poder mirar yo espejo sentir ascopor sentir yo culpable cada vez
user0105,4.91836E+11,"Parece que se aproximan mayores tasas de obesidad, con los problemas asociados que ello conlleva, porque no enseñamos a los niños a comer .
Es una triste noticia social para nuestra futura salud social. https://www.facebook.com/1517942885113795/posts/2087549244819820/ …",control,parecer aproximir mayor tasa obesidad problema asociado él conllevar enseñir niño comer triste noticia social futuro salud social
user0106,0d60a81ddab8,"asimismo, https://www.youtube.com/watch?v=paaI0y9A21A … es una enfermedad bastante difícil... nadie la entiende hasta que no la vive dentro de si o cuando tienes un familiar o ser querido con esta ""enfermedad mental"" .",anorexia,asimismo enfermedad bastante difícil nadie entender vivir dentro si familiar ser querer enfermedad mental
user0107,55bf1812016a,"No entiendo, voy a comer filete de pollo con ensalada y papa amarilla. Es domingo de pizza, pero estoy en mi etapa",anorexia,entender ir comer filete pollo ensalado papa amarillo domingo pizza etapar
user0108,75b7a40b2ca0,"mi novio esta más delgado que yo, necesito adelgazar
 #proana #promia #anorexia #anorexiaeetclub #eatingdisorder #tca  #bulimia #bulimicgirl #bulimianervosa",anorexia,novio delgado necesitar adelgazar
user0109,675645fb9d8e,"@Anorexia_ED jamás uno de saldrá , si lo haces sos una fuck enferma,pero si recuperas peso , te dicen gorda . decindase",anorexia,anorexiaed jamás salir si hacer so fuck enfermapero si recupera peso decir gordo decindase
user0110,ab49b1c869b0,"Peso de Junio: 39 kg.
Peso de Julio: 33 kg.
Peso actual   : 30'5 kg.

Meta...20 kg 

#Fat  #Princess #Don'teat #Cortes #Sangre",anorexia,peso junio kg peso julio kg peso actual kg meta kg teat
user0111,52b574b64ed1,@vanessarongel3 yo tengo la solución #dejadecomer,anorexia,vanessarongel solución
user0112,29ade1522dd1,3 DÍAS SIN COMER ULTRAPROCESADOS  ROASTING VEGGIES: http://youtu.be/9IGuIkuvDn0?a  vía @YouTube,control,día comer ultraprocesado roasting veggi vía youtube
user0113,069f9be9241d,"Hoy varios grupos de estudiantes han asistido en nuestro mercado a los talleres “a la compra y con salud”, impartidos por la Sociedad Española de Dietética y Ciencias de la Alimentación. #mercadodelapaz #mercadosdemadrid #alimentacionsaludable #comprasaludable  #comesano",control,hoy varios grupo estudiant asistido mercado taller compra salud impartido sociedad español dietético ciencia alimentación
user0114,9c34252f29a0,No por hacer más ruido entrenas mejor. Usa tu #silencio y tu atención plena para mejorar los resultados de tu #entrenamiento... #respeta el trabajo de los demás!  #AnytimeFitness  #FelizViernes #FelizFinde #GymAttitude  #Fit #gym #workout #mindfulness #sport,control,hacer ruido entrena mejor usar atención pleno mejorar resultado trabajar demá
user0115,885428112b02,"Recuerdo cuando sufría de EDs, era un palito, suerte que conocí a Demi Lovato y me ayudó a salir adelante :) #staystrong  #anorexic",anorexia,recordar sufrir eds palito suerte conocí demi lovato ayudar salir adelante
user0116,c2e6aea58331,"mañana me voy a pesar después de todas las navidades y creo que voy a estar diez días sin comer xd
  #bulimia #bulimianervosa #bulimic #bulimicgirl #anorexia #anorexiaeetclub #anorexiarecovery #anorexic #proana #promia #gorda #fat #tca #eatingdisorder",anorexia,mañana ir pesar después todo navidad creer ir diez día comer xd
user0117,523bc9711a9f,"Ya sabes que vas a comer este sabado con tus amigos? olvidate hace tu pedido en @ebisushiargentina y disfruta, #sushi #sushi #sushiargentina #sushitime #sushiroll #sushiman #sushimania #sushitime #comidasana #comida #comidasaludable  #comidafitness #comidajaponesa",control,saber vas comer sabado amigo olvidatar hacer pedido ebisushiargentín disfruto
user0118,db625ee7a4f6,Cumplír un objetivo a veces duele,anorexia,cumplír objetivo veces doler
user0119,58d8b995f371,En menos de un mes me voy de vacaciones a la playa. Odio no poder verme así... Algun día.,anorexia,menos mes voy vacación playa odiar poder ver yo así algun día
user0120,e6a01d8922b7,". Testimonio: ""Dejé de ser una persona para convertirme en una esclava de la #bulimia"" http://ow.ly/RwUFs",anorexia,testimonio dejar ser persona convertir yo esclavo
user0121,12ad9df4a28b,"Hay tantos yogures como tipos de personas, y con nuestra yogurtera podrás preparar el tipo de yogur que más encaja contigo.
#yogur #comidasana  #food #healthyfood",control,tanto yogur tipo persona yogurtero podrás preparar tipo yogur encajar contigo
user0122,dd1e90359a61,"Comenzamos este fin de semana de Carnaval!!!
El color inunda nuestras calles! Déjate contagiar!!!
#CaféÁgora #leonesp #burguer  #slowfood #healthy #menu #gourmet #copas #cafe #carnaval",control,comenzar fin semana carnaval color inundo calle déjatir contagiar
user0123,360fe88a427d,#Thinspo de noche de lunes.,anorexia,noche lunes
user0124,9a8cbc32f56b,Hoy para comer.... #SopaDeMiso estilo by Soco  #RealFooders #Cooking #VeganCousin,control,hoy comer estilo by soco
user0125,b58afdd13d59,Me vas a invitar a  ?,control,vas invitar
user0126,0e58db8af5f3,"Entrenamiento de puente lleno de energía positiva y buen jiujitsu.
.
.
#jiujitsu #hunosjiujitsu #mma #jiujitsumexico #jiujitsugdl #hunosstyle #bjj #ufc #sport #martialarts … https://www.instagram.com/p/BvKsH9DgMr-/?utm_source=ig_twitter_share&igshid=1to22q9ku609l …",control,entrenamiento puente lleno energía positivo buen jiujitsu
user0127,24603cb68216,...No os quiero enamorar pero voy a comer cocido ...#cocidomadrileño,control,querer enamorar ir comer cocido
user0128,5f7625c6096b,Nuevo día. Mismos sufrimientos.  #gorda #MeDoyAsco,anorexia,nuevo día mismo sufrimiento
user0129,b52142868f25,Si no existiera la dominación el canon de belleza no sería #thinspo o  pero socialmente las delgadas son las bellas.,anorexia,si existir dominación canon belleza socialmente delgado bello
user0130,79d1ab62d6ab,"Qué bueno tiene que estar!! #Sobrasada #vegana. #veganfood 

https://elmundodemamanatura.blogspot.com/2019/01/sobrasada-vegana.html?m=1 …",control,bueno
user0131,a98713460c15,Alimentación | Conoce la solanina y las xantinas de las fabas  .,control,alimentación conocer solanina xantina faba
