class,tweet_id,tweet_text_clean,word2vec_0,word2vec_1,word2vec_2,word2vec_3,word2vec_4,word2vec_5,word2vec_6,word2vec_7,word2vec_8,word2vec_9,word2vec_10,word2vec_11,word2vec_12,word2vec_13,word2vec_14,word2vec_15,word2vec_16,word2vec_17,word2vec_18,word2vec_19,word2vec_20,word2vec_21,word2vec_22,word2vec_23,word2vec_24,word2vec_25,word2vec_26,word2vec_27,word2vec_28,word2vec_29,word2vec_30,word2vec_31,word2vec_32,word2vec_33,word2vec_34,word2vec_35,word2vec_36,word2vec_37,word2vec_38,word2vec_39,word2vec_40,word2vec_41,word2vec_42,word2vec_43,word2vec_44,word2vec_45,word2vec_46,word2vec_47,word2vec_48,word2vec_49
anorexia,02c4086ec8e3,quis pas tod vacacion asi,-0.50936365,-0.11589899,-0.5483068,-0.041270204,0.21353033,-0.43593043,-0.21627331,0.8044041,-0.40073544,-0.2751152,0.41560164,-0.46337953,0.85583115,0.70662093,-0.38443297,0.4463815,0.49323887,0.47964555,-1.2585346,-0.3450135,-0.3120584,-0.037911624,0.62266886,0.42025882,0.19285132,0.6974299,-0.14654382,0.77527285,0.25163874,0.0003643632,0.5372772,0.17361912,0.12829825,0.13452874,-0.43627563,0.3937807,0.7142361,-0.010777986,-0.0113796545,-0.9466074,0.93982536,0.07501417,0.5349049,-0.2722711,0.21084364,-0.15315135,0.3646976,-0.3561894,0.15733431,0.40986294
control,194c855a0ff5,hoy rob mel fantast alo parath integral tipic d cocin indi convert complement perfect cen san sabros delici,0.09410818,-0.38103846,0.09693825,0.08188253,-0.52424115,-0.10591666,-0.24265201,1.041923,-0.58924496,-0.48031867,0.4688872,-1.4917607,0.530349,-0.19425792,-0.32812944,0.41665876,0.42007944,0.1512807,-0.8980202,-0.13099128,0.3901149,0.06198613,0.21204959,-0.10972627,0.38057148,0.35045242,0.21868211,-0.8350563,-0.52386045,-0.07579504,-0.33139616,0.047143813,-0.310494,0.14151746,0.026762744,1.1112494,0.28333396,-0.4473967,0.0005739439,-0.5913409,0.41106462,-0.20811942,0.41557664,-0.26108617,0.68733406,0.27715552,-0.03953944,0.30488196,-0.12999247,0.25203708
anorexia,5301def06867,salt almuerz,0.22547284,-0.44913015,0.44002002,1.3350081,-0.04787661,0.17785701,0.23082212,1.2403437,-1.2025005,-0.5246955,0.05929248,-0.39777336,0.2952813,0.47115713,-0.15862268,0.3178531,0.7806131,0.7954352,-1.2874413,-0.5374136,0.64903617,-0.14263897,0.91870874,0.48537058,0.7376955,-0.54515827,0.09734957,0.33474633,-0.69386023,-0.23910807,0.012302831,0.4849376,-0.6649925,0.18965931,-0.041260064,0.3558718,-0.41671908,1.4664873,-0.38910723,-0.47396582,1.1461464,-0.42462063,-1.0455874,-0.3667745,0.8509798,0.48641348,-0.6927222,0.5293553,0.36930525,-0.7332561
anorexia,da4a678f2693,cans perd,-0.2294198,-0.43921816,-0.18701938,0.34732023,-0.49273437,-0.3201765,-0.036582038,0.4663964,0.39198342,-1.2563162,0.24789621,-1.4179626,0.53803444,0.64398974,-0.7090893,1.4525373,-0.10936004,0.44710892,-0.6346668,-0.22194636,0.15229681,0.8595574,0.6602126,0.40737173,0.38655567,0.12480741,-0.63196445,0.29676682,-1.16527,-0.6837118,-0.4751475,-0.81603295,-0.14699598,-0.46728364,-1.2518269,0.34595332,0.48539412,-0.29622638,-0.5666223,0.22193557,0.2758192,-0.45352966,-0.31488073,-0.73381937,1.0229716,1.0221494,-0.48424047,-1.1748685,0.1996838,0.39504302
anorexia,af6077c20b97,hues not cop medall habert gan batall,-0.037151992,-0.5016392,-0.3639462,-0.16945077,-0.46607623,0.3609173,-0.29948238,1.2862078,-1.0188916,-0.15178224,-0.22003922,-0.9046311,0.79655087,0.8263577,-0.8654894,-0.1921149,0.6259633,0.16955122,-0.61256063,-0.37219116,0.6145194,0.5097636,-0.2878223,-0.33090442,-0.17820334,-0.6117674,0.097515404,-0.30128005,-1.429005,0.23741749,-0.17437233,0.004179383,0.37036133,0.5668045,-0.75796574,-0.33521795,0.30078474,0.37552437,-0.2634531,-0.34564838,0.8030445,-0.24427107,0.54625654,0.13909085,0.5198835,0.181444,0.16189797,-0.25397474,0.6362325,-0.517173
control,95f0866200e2,norex anfepromon potent medicament dej com exces adelgaz hambr,0.18813057,-0.41231504,0.3790898,0.075117506,-0.19389485,-0.39755085,0.38353348,-0.080486916,-0.14449617,-0.4635868,0.37163392,-0.17748025,0.32005978,0.7995579,-0.95307374,-0.049370788,0.5147395,0.5244633,-0.7431381,-0.30962712,-0.33719915,0.035358373,1.504997,-0.73389363,-0.518115,0.25044143,-0.6095861,0.18953593,-0.694672,-0.31900534,-0.16357064,-0.214022,0.36558735,-0.05096469,-0.07306376,0.08919023,0.45853508,-0.30353326,-0.5539445,-0.285922,0.24969994,-0.28265637,0.10576606,-0.5337068,0.808422,0.08131113,-0.9753249,-0.41667122,0.3168873,0.059991572
anorexia,7bc01e182024,cambi com alcohol,-0.29246745,-0.15534206,0.3556105,0.12316408,-0.13207556,0.18461597,0.54311794,0.9663926,-0.44896293,-0.0232734,0.051652014,-0.3811213,0.57977116,0.2938318,-0.6353225,-0.24380279,0.5223476,0.72935104,-0.24650556,-0.21680671,-0.060053725,0.06653803,1.3223597,-0.18319438,-0.22856705,0.4462948,-0.07213241,0.2109483,-0.8993838,0.17949641,0.07459251,-0.52786344,-0.020464083,-0.2035721,-0.36156926,-0.28259787,0.65460503,-0.33342102,-0.3108584,-0.53466517,0.44892034,-0.48120892,-0.6336495,-0.46799505,0.2460107,0.5791421,0.040323317,-0.40933987,0.032767516,-0.022169804
control,121b9bdab738,flip porqu vez dej busc cos guarr glut empiez com abandon ayud bastant dig,-0.41500312,-0.58482873,-0.7874226,-0.24404427,-0.47698846,-0.21713737,0.65030926,0.497462,-0.27730235,0.21025741,-0.058482774,-0.110702,0.197896,0.290843,-0.61238086,0.7879752,0.1956396,-0.11993951,-0.6027095,0.07784512,0.31215805,0.12006539,1.1930319,-0.30292413,0.21468751,0.4299919,0.08312763,0.15387194,-0.58352983,-0.0049362862,-0.20946683,-0.038035374,-0.16683854,0.44207546,-0.40558094,-0.08428638,0.6472207,-0.107206896,-0.617319,-0.5606434,-0.24152832,0.0036441747,-0.21770395,-0.5277892,1.0687071,-0.12840505,0.04549933,-0.5848522,0.23193921,0.61913836
control,97cad7c82a89,voy dej fot aqu cad quier com antoj record cen maldit atun agu cad antoj conviert mas cen atun agu,-0.017272359,-0.0825055,-0.48980564,-0.34632137,0.05434694,-0.2724443,0.7340311,0.7237871,-0.035549942,-0.85057753,0.22446759,-0.4361403,0.65527534,0.86158955,-0.18442133,0.23716438,0.71987617,0.19298787,-1.1519371,-0.21992359,0.37073085,-0.06608884,0.6775147,-0.45180607,0.38363037,0.59101236,0.2470071,-0.5412961,-0.77942216,-0.07415152,-0.1927698,0.26000622,-0.1939857,0.1647112,-0.1670643,0.52073276,0.6646256,-0.5518939,0.26902115,-0.52687955,0.47916365,-0.005377206,-0.12711413,-0.25587624,0.26976663,-0.25605145,-0.60458666,-0.06597005,0.55703825,-0.15777688
control,77f9d345b278,desafi flexion braz dur minut,0.36762,-0.06779807,0.24843903,-0.37503576,0.81286603,0.46062523,0.53056514,1.205719,0.4559946,-0.032696135,-0.26318806,-0.4562331,0.5176059,0.20486286,-0.20192425,-0.34296337,0.14171685,0.12026574,-0.19056478,0.10833945,0.0772475,1.0446706,0.3351676,-0.24778256,0.63195014,-0.06543726,-0.25878197,-0.9595091,-0.5289717,0.21334472,-0.26994324,0.017970135,-0.15014294,0.20015211,0.21070147,1.0906799,0.44830918,-0.082904026,-0.046552002,-0.9660822,0.36034164,-0.16633101,0.00019233822,0.1750346,0.8318137,-0.6040563,-0.17390831,-1.1513956,0.14538571,-0.16673872
control,a8cb02cd180b,tiemp recet delici list mir bocadill salud vam prepar,-0.015994582,-0.5806887,-0.24054946,0.02822403,-0.6287233,0.21592456,0.7279599,0.62865305,-0.48533025,-0.39762974,0.28515896,-0.67311954,0.3119882,0.1262704,-0.5080092,0.3755431,0.20053004,0.13443257,-1.0243522,-0.6007614,0.13032201,0.13027674,0.5390691,0.5639671,-0.20555355,0.031845704,0.05469898,-0.29452989,-0.21353573,0.5657956,-0.44619593,0.36746892,-0.71583843,0.17219554,0.7053777,1.1598115,0.06454114,0.43594193,-0.0046853772,-0.5769102,1.1974205,-0.08876131,0.017388204,-0.4595087,0.78718156,0.061145477,0.095217675,-0.25822902,0.39654118,0.3430308
control,c8d7fb50f38d,ide motiv niñ tan niñ com mejor men ultraproces punt pegatin cad dia com san consegu cambi poquit genial aplic distint centr,-0.5291542,-0.3402837,0.5600061,0.46225291,0.02522257,-0.2605373,0.68190813,1.1851287,-0.6258717,-0.4871894,0.091119096,-0.0987484,0.5737114,0.3910592,-0.71666676,-0.06788551,0.6263654,0.37703493,-0.7813866,0.054047346,-0.07718911,0.23690395,0.9018083,-0.022036774,-0.17571582,0.83241653,0.3853919,-0.16758727,-0.7392206,0.012053167,-0.44191873,-0.35228312,-0.074552886,0.4173231,-0.5531444,0.13180354,0.6188258,0.012897848,-0.016577257,-0.23981275,0.63123333,0.075913094,0.05176841,-0.12107429,0.371552,-0.010171077,0.33390227,-0.24639915,0.3221943,-0.11621106
anorexia,163238e7fd2a,dia pes kil feliz,-0.17979088,0.2671647,0.08707814,0.5373734,-0.6639054,-0.9461962,0.35769978,0.28130352,-0.3193866,-0.14423718,-0.08626754,-1.1381807,0.14577574,0.406689,-0.12235664,0.48830903,0.49253553,0.5301568,-0.47533962,-0.11180498,0.17568657,-0.19243003,0.06046173,-0.14954697,-0.121858284,0.34889042,-0.3849408,0.3340678,-0.5392625,0.103387274,-0.019426484,-0.33376575,0.14820042,-0.31022722,-0.85797286,0.6272967,0.6618563,-0.24527554,-0.5100292,-0.18909416,1.1239167,-0.039625823,0.08758587,-0.13602237,0.37672198,-0.027775943,0.26692736,-0.8169098,0.4134736,-0.22141965
anorexia,ebb7399ccc84,met dia cumpl,-0.71198076,0.3125207,-0.044009954,0.79473037,0.25548276,-0.3240309,0.10685328,0.22993694,-0.53925675,0.06032126,-0.5390022,-1.0324546,0.64878035,0.70810395,-0.5153038,0.34262738,0.58259934,0.6477683,-0.75738287,0.2665284,0.25530416,0.31691158,-0.8373255,-0.54766816,-0.016011178,0.80248255,-0.6759529,0.27770185,-0.9307556,0.1574762,-0.5061652,0.2783639,-0.056302447,0.07510314,-0.7108186,0.2641519,0.45336214,0.21635829,0.1766551,-0.63518524,1.4027076,0.3096533,-0.2333829,0.04245166,1.032256,-0.3440856,-0.46137986,-0.16795142,0.51578027,-0.073086984
control,902edae2d259,aun cen tra recet sencill riquisim patat fundent tort pechug fin hierb,0.077482715,-0.27353874,-0.67948085,0.29305023,-0.60102725,-0.5437295,0.84147596,0.34007183,-0.5697203,0.101529874,0.31570303,-1.0163406,1.0821842,0.4682717,-0.07850753,-0.18866836,0.69590205,0.24761052,-0.9342913,0.24724369,0.034432355,0.112989545,0.2583753,-0.44513163,-0.08638284,-0.42690063,-0.01737784,-0.21077251,-0.42593357,-0.3439766,0.36370978,0.2644476,-0.7448173,0.5938402,0.60671836,1.2936612,-0.09308564,0.59552056,-0.19947945,-0.50209224,0.10749767,-0.029821843,0.07119251,-0.5543696,0.90450615,-0.2789388,-0.32831165,-0.3592619,0.391541,0.28690737
anorexia,434cdbfccbbe,veo sig baj baj pes,-0.7075907,0.99646634,0.16386977,-0.07052099,-0.5184381,-1.538913,0.218232,0.7931442,0.008653956,0.17012799,-0.28574076,-0.77920645,0.4597869,0.72749746,-0.3598971,0.7279982,0.1946648,0.31554466,-0.6378788,0.09545149,0.4333757,0.13091451,0.8097361,0.16597067,-0.32240266,0.46607202,-0.052936353,0.26795626,-0.8122651,0.2475832,0.8237545,-0.710719,0.44763803,-0.3658935,0.11854112,0.36556202,0.91508806,0.028457273,0.17659846,-0.16835108,1.0361435,-0.03214273,0.14230661,-0.12551962,0.69010127,0.34480402,0.51994014,-0.28366786,0.5440656,0.05243007
anorexia,cd0f0a4a9c28,alegr adelgaz frustracion engord,-0.62628895,0.091284506,0.14993846,0.6098361,-0.09698807,-0.5251503,0.35757965,-0.22686002,0.43716437,0.520488,0.04730858,-0.9006159,0.45242652,1.4401317,-0.6539676,0.47678602,-0.03642284,-0.099304035,-1.2958505,-0.41577315,-0.11856164,0.3605343,0.94952464,-0.83330816,-0.32102096,0.2277031,-0.3705219,0.123665124,-1.1619341,-0.038905382,-0.23870698,-0.609472,-0.5849143,-0.1338931,-0.30518776,-0.09740979,0.030268438,0.19473127,-0.75259364,-0.4132669,0.3299269,-0.7727424,-0.27116358,-0.5306394,0.86920726,-0.368682,-0.4435684,-0.26064274,0.24587391,0.1753707
anorexia,b3a231c48237,to others everybody should lov the body and accept it in the way they are all body types are beauty to,-0.23926699,-0.06853754,-0.22296004,0.5092372,0.15040226,-0.18390787,0.2800549,0.7951385,-0.7825952,-0.12669234,0.24887276,-1.0228968,-0.6830797,-0.39305615,-0.76504797,-0.6904637,-0.07348392,-0.9450898,-0.8560761,0.25451002,-0.43272746,0.5416026,0.64063865,-0.15330939,-0.08901395,-0.5009475,-0.80191773,-1.0201495,-0.38306686,-0.42588538,0.41841558,0.049259454,-0.06074537,0.5583094,-0.3819477,0.44653812,-0.21946305,0.21601091,-0.37121132,0.037046425,1.1164922,-0.8037994,0.60439855,0.14303575,-0.30564073,0.10178448,-0.34789628,-1.1140227,0.03583011,0.30592474
anorexia,790304dc259a,list resum poc,0.5081487,0.1657664,-0.26654398,0.070667006,0.023932219,0.08513284,0.927474,0.57976234,-1.4059172,0.12110426,0.32538214,-0.49418238,-0.04817759,0.14138912,-0.29897055,-0.16701056,0.6104293,-0.38039127,-0.7964781,-0.91550034,-0.5692616,0.1522228,0.29357314,-0.054404944,0.033668924,-0.31317684,0.6732755,0.014117797,-0.10813894,0.2777721,0.5329793,0.53786635,-0.12445172,-0.3204955,0.24591212,0.81292766,0.10108014,0.57826614,0.09822912,-0.75272113,0.7387872,-0.36598375,-0.009076297,-0.40449977,0.47284356,-0.123167716,0.5610997,-0.53514224,-0.1435783,0.03584038
anorexia,dd5dfd3a9b88,mañan empiez vez,-0.42774037,-0.026999215,-0.5945793,-0.5524896,-0.7200648,-0.6676641,0.55515355,0.79848576,0.06124631,0.40392366,-0.59258777,-0.45134178,0.45584974,0.01917407,-0.5504445,0.41167417,0.13927041,0.26299986,-1.2917227,0.039591108,0.06946995,0.7518253,0.5658974,0.105303586,0.37465718,-0.25067344,0.02872319,0.17531902,-0.6757377,-0.040940583,-1.2157842,-0.254215,-0.5964539,-0.13140044,-0.7517182,0.39686927,1.5734175,0.13781041,0.09971023,-1.0788851,0.35800633,-0.038316358,-0.20470215,0.22179456,0.41141906,-0.37567613,0.3874352,-0.34275457,-0.44769087,0.5244885
anorexia,2910abc4f79a,hs com,-0.015161294,-0.09051017,0.073836885,-0.096547194,-0.16226104,-0.020639518,0.28980482,0.18540245,-0.36006492,-0.21446581,0.17618927,-0.09333085,0.116125196,0.19905931,-0.22646418,0.067172736,0.21886,0.06982618,-0.374311,-0.12750012,0.121552065,0.07311812,0.3783842,0.0010615773,-0.038144886,0.1411429,0.013295963,0.07141148,-0.35961106,-0.083606824,-0.10414225,-0.14860949,-0.052669268,-0.045823235,0.08467101,0.0040184036,0.25935543,-0.062331468,0.04684179,-0.22588415,0.041260272,0.045095216,0.058878742,-0.007174087,0.31264335,0.025150452,-0.09599947,0.037209496,0.17182107,-0.0126811415
control,164d6705e9ba,gent pregunt pued tom cocacol light aqu respuest insist siempr exist aliment light obes mund hech crec only,-0.14777003,0.63196725,-0.1213518,-0.05563374,0.7178789,0.49560186,0.58209825,0.4822543,-0.50907016,-0.6748845,0.47122103,-0.16939864,0.5939606,0.44716108,-1.0561309,-0.3483717,0.23275341,0.067619935,-1.0272943,0.11302613,0.28594154,0.194106,0.6750079,-0.6037722,0.31013376,0.2769952,0.4116048,-0.14564148,-0.23430382,-0.26982886,0.4700596,-0.1392956,-0.5500982,0.27284503,-0.22788559,0.2773842,0.09638689,-0.31307536,-0.039856628,-0.7022721,0.7407325,-0.11382062,-0.14634882,0.50230426,0.73276585,-0.2985702,-0.013518348,-1.232749,0.54047245,0.14635907
control,60cfd8ee8884,pas cuerp tom agu carl diaz tv,-0.34791896,-0.44975644,-0.35936275,0.15127926,0.5993447,-0.28328314,0.97077096,0.6752526,-0.1879158,-0.4598401,-0.47145224,-0.5428535,0.9668649,0.6810379,-0.8928882,-0.043276276,0.06633423,-0.26671168,-0.887022,-0.33173463,-0.19353227,0.095259644,0.72684044,-0.5572915,-0.4211416,-0.26643834,-0.5972182,0.17830536,-0.64216214,0.44271952,0.13135435,-0.04081319,0.56683517,-0.0026820216,0.49096367,0.14163153,0.19667876,-0.5501591,0.17555945,-1.0074422,0.5187682,-0.41412377,-0.32145187,-0.097135,0.46588543,-0.7013541,-0.7421044,-0.07547664,-0.011463164,0.16137674
control,3de6bc2832e4,revuelt pedaz tomat aliñ si esqu cuid sol quer,-0.19984144,-0.15715423,-0.20167443,0.15201016,-0.7909135,-0.013397743,0.298685,0.94496036,-0.669882,-0.3885345,0.5005624,-0.0119774705,0.554853,-0.0024368332,-0.7164548,0.18288258,0.41989875,-0.6972543,-0.30923352,0.18589315,0.6191101,0.15669595,0.93368614,0.33544844,0.5562339,0.19622374,-0.18063213,0.5231792,-0.89818734,-0.2430631,0.6225786,0.2639488,-0.08983097,-0.43871576,-0.14508429,0.33317006,0.3183635,-0.26263353,-0.049911916,-0.6787532,0.50202,-0.47252554,-0.1679623,0.31661686,0.7332284,0.21284646,-0.18654758,0.116500445,-0.042018615,-0.19620183
control,05b0fc75186a,tonif cuerp ten ir metodolog,0.4282145,-0.28772992,-0.22407942,-0.73968613,0.22551484,-0.77689266,0.7754885,0.5385174,-0.81015414,-0.63729674,-0.29067796,-1.1386319,0.29884386,0.3894608,-0.20708184,0.030738587,0.3834965,-0.008089286,-0.13942622,-0.63060796,0.07180457,0.36491615,0.4104992,0.43774143,-0.27268094,0.7328126,-0.0027538657,0.049739826,-0.27797815,-0.3227913,0.089716956,0.29188687,0.6664361,0.30783227,-0.19295092,-0.14183214,-0.1072094,0.3976317,0.23920146,-0.6013554,1.0188506,-0.13510346,-0.05940757,-0.5745582,0.6418542,-0.44947776,-0.12064636,-0.6098791,0.43061456,-0.47722402
control,e844a586bb9e,llen porqueri cabez chic ser princes diosss mio terminenl,0.2275769,0.35692468,-0.60710126,0.2133446,0.014366226,0.10314605,0.26517537,1.1468865,-0.27259502,-0.114004456,-0.58977485,-0.52123356,0.5356864,0.09411918,0.2857197,0.4249532,-0.06434219,0.6510321,-0.99562114,-0.44662365,0.19332224,0.21967477,0.78206646,0.17136064,0.32898107,-0.232042,-0.36803153,0.13990416,-1.0280061,0.5613834,0.3532313,-0.3376907,-0.24886598,0.49516705,-0.70687944,0.17252529,0.55608755,-0.39808342,-0.74403244,-0.81624573,-0.026889516,0.3144208,-0.040910065,0.13696007,0.6996603,-0.21641782,-0.18059579,-0.4673456,-0.081224225,0.054490387
anorexia,7cf97a25791a,cambi esper rind perfeccion dificil alcanz,0.2006473,0.68186015,-0.4500598,-0.08354846,0.16055629,0.11285823,0.47829446,1.6498971,-0.31535614,-0.12936379,-0.7010115,-0.6285603,0.51845723,0.19730067,-0.8211865,-0.6754996,0.25470042,0.4745256,0.07718408,-0.08217574,0.6848743,0.54414433,0.35434154,-0.49084118,0.55858326,0.6825399,0.06792947,0.09543643,-0.58616346,0.34296682,-0.31443727,-0.124387115,-0.013534486,0.3786526,-0.60263485,0.06531185,0.33441332,-0.43557832,-0.701207,-0.54979414,1.0958685,-0.7509341,-0.26361385,-0.74742323,0.72903484,0.25462517,0.24299966,-0.7735746,-0.32646623,-0.095038675
